ID,Why_1,Why_2,Why_3,Why_4,Why_5,What_1,What_2,What_3,What_4,What_5,Question_1,Question_2,Question_3,Question_4,Question_5,Rater_1,Rater_2,Rater_Match,
39,"Jupyter and RStudio are ""friendly"" GUIs as opposed to teaching people to write code in one window/editor and test running on the command line, but they allow users to make errors based on previous runs of the data. Unless a learner knows to restart R/empty workspace/run all cells in order, then do they really know if they have written a correct program?","Dynamically typed languages seem easier for many reasons, but they also allow users to make subtle, costly errors both in terms of correctness and scalability.","20 years ago, I used the IDEs that came with e.g. VB and Delphi, but since write code only in vim with some plugins for editing, linting, formatting, etc. Is it better to have learners embrace Sublime or Atom or VSCode or steer them to vim/emacs?","Many questions can be answered with grep, sed, awk, uniq, sort, etc. To what extent should novices learn these programs (available via Git Bash for Windows) before moving on to a more general purpose language?",0,Decide whether to actually use these tools in teaching or stick to simple editors and running programs in their entirety from the command line.,"Decide whether to start with a language like Python or one like Java (or even C!). I tend to teach adults, so I'd imagine the answer is different if one is teaching children.","I don't personally like most code editors since I have committed so much time to learning vim, but it doesn't seem fair to expect learners to grapple with even the tools used to type a program. But do they become dependent on those programs? Is it better to use fewer features and just learn how to look up functions, format code on one's own?",I tend to teach the command line and some basic bash scripting before moving to Python or something else. Should I continue to do so?,0,Is it beneficial to use environments like Jupyter and RStudio when those allow learners to run code out of order and relying on state that exists from previous (partial) runs?,Is it better to learn programming with a statically or dynamically typed language?,How helpful are IDEs/GUIs/fancy editors for learners?,Should basic Unix commands be taught before formal languages?,0,2,2,TRUE,
40,We have such a diversity of abilities in a class. Teaching Python is a challenge as the low abiilty learners need more time and the fast learners are bored.,We have students entering year 7 who have published apps and those that have not used a computer.,"Many compiled languages have passing arguments by ref or by val, python doesn't. There is little difference between a function and a procedure, and the fact that any subroutine can return multiple values. etc.",The past 30 years has seen an evolution of computing available to consumers. Each year the software becomes more complex. Learning today is not like it was many years ago. Is it better to ignore the many developments and confine learnign to a small easy to manage subset of computing?,0,It is probably too challenging to create the software to automate this learning process but I would hope that somebody would pick up on it and create the code.org like resource. I don't think existing courses like codecademy.com are as effective as code.org.,Restrucutre my scheme of work to be more effective with a wide range of abilities.,Decide whether to continue using Python or use a more traditional programming languatge.,Try to opimise student learning by controlling the scope of what they learn when writing software.,0,Code.org helps students learn how to write code to solve problems. The tasks are automated and well scaffolded. Can this model be applied to non-block languages such as Python.,What is the best teaching model for wide ranging abilities.,Does learning Python hamper understanding of other computer science concepts.,Are there too many programming options for optimal learning.,0,2,2,TRUE,
41,I teach at an all girls school,To know if there are proven better ways to introduce concepts in programming,0,0,0,Will help structure how I teach,Will help structure how I teach,0,0,0,Is there a difference between genders in understanding fundamental computing concept?,Is there evidence supporting the use of prebuilt code snippets in developing early understanding of computing concepts?,0,0,0,2,2,TRUE,
42,"Teacher training in the field of computer science is a huge problem that needs to be solved. Once a teacher enters the field, teacher support and retention are of paramount importance. ",I have often found students interested in the flashy nature of cybersecurity curricula and want research to support this observation. If research supports this claim I would have more cause to convince my district to allow students more access to topics that tend to otherwise frighten administration.  ,I live in a state that does not require computer science at primary or secondary schools. My state's university system does not accept CS as a math or science credit for entry. 10% of schools in my state offer a single CS course at all. I want to know why my community is so slow to adopt this global trend in education. ,I believe having a large scale survey of who teaches what is both attainable and educationally valuable. Teachers will often argue about the merits of different programming languages like python or java. Others with discuss the benefits of block languages as an introduction to programming. Before any of those answers can be obtained I believe that what is currently taught where needs to be documented. Maybe a tend will present itself within the data showing achievement zones that demonstrate one philosophy of education in CS to be more effective? I am unaware of any large scale database that contains this knowledge and many states have information available that is simply waiting to be compiled into a single location. ,Computer science as a field of study is extremely vast. In an effort to expose as many students as we can to CS instructional practices are not often analyzed simply because we are happy if an instructor teaches CS at all. In many ways the field is the wild wild west where anything goes. I want to know if we either go far too in depth too fast with students or too broad. What is the ideal approach? ,Use the information to inform teacher preparatory programs and districts how to best assist new CS educators. ,Use this study to reinforce the claim that this course is important and belongs in a secondary setting. Many schools believe that basic internet citizenship and cybersecurity and pen testing are synonymous. I want my students to have the opertunity to explore this topic much further.  ,I would use a study like this to advocate change in my state's legislature. I want this kind of study to occur so that it can continue to drive CS education in unincorporated regions. ,Reinforce or adjust my practices to align with what is most valuable for my students. ,Better inform instructional practices. It could also be used in teacher education programs. ,"Identify the common traits that inspire new secondary computer science teachers to have high confidence, low attrition, and best prepare them for teaching in secondary education environments?  ","Does early exposure to cybersecurity tools, topics, and application based coursework positively impact student retention and/or comprehension in Computer Science courses? ","Are there any observable factors(social, cultural, socioeconomic, etc) that have lead some states to be slow adopters of Computer Science as a field of study in secondary education? What common threads can be found in communities that have prioritized CS education?  ","Are there national zones for different computer science educational trends? Do certain regions teach more object oriented languages, block languages, static or dynamic programming, web development? ","In introductory computer science courses, do students benefit more from a breadth or depth approach to computer science?   ",2,2,TRUE,
43,"I spend a lot of time modifying ""standard"" course approaches to how I *think* my Maths students would best receive the material. I wonder how much use this is, and how much benefit comes solely from being taught by someone they see as a Mathematician rather than someone they see as a CS/Engineer.","There's a fair number of courses popping online, but also in person, even at very young ages. It's clear why: it's not clear to me whether the change of viewpoint of the material leads to a change in misconception(s).","It's possible for students to take three courses based on Python with me alone, and see different tools in each (Spyder in intro courses, Jupyter and Visual Studio in advanced courses). This is partly for historical reasons are partly based on opinions/assumptions that they are the best tools for those courses *seen individually*.","I weight the quality of code documentation very heavily in assessment, in part as it's ""the right thing to do"" (opinion?), and it part because I believe it makes the students get their assumptions down ""on paper"" and so think more about the code. The latter is definitely an assumption of mine that could well be incorrect.","I explicitly tell my students not to use unicode variable names (when teaching Python). I say this is for backwards compatibility, and for compatibility with other programming languages. However, many of the problems given are STEM modelling problems with parameters or variables that can easily be expressed in unicode, but badly expressed in ""standard"" Latin (eg lambda vs the keyword, mu vs nu, but problems with sum vs Sigma, ...). Generally I am concerned that routinely using unicode variable names will lead to a different set of errors and misconceptions.","If there's little difference, try and convince management to shift time in the workload model from preparing material to more student classes and workshops.","If there are no major new misconceptions introduced by these approaches then some courses I teach would need modifying to focus more on this viewpoint, as there's a lot of student interest right now (some straight curiosity, some employability-driven).","If the students do best with a single tool, switch all courses to use IDEs: I think the limitations of Jupyter in certain cases outweighs the benefits.","If true, spread this knowledge amongst other colleagues to get them to put more weight on this. If not, de-emphasize it slightly in tightly-packed intro courses.","Either be more honest with students as to why I recommend against unicode variables (""they're a source of errors), or stop worrying about backwards-compatibility issues and embrace the future...","How much better does an introductory course specifically designed for a set of students doing course X work for these students than a ""standard, general"" intro course designed for eg CS students?",Does teaching intro courses by solely aiming at ML/AI/Data Science examples and applications lead to different/new novice misunderstandings?,"If students have multiple courses based around the same language (eg Python), do they benefit from always using the same tools (eg an IDE) or seeing a range (various IDEs, Jupyter, ...)?",Are students who are forced to write detailed documentation of code better able to reason about it?,"Does using unicode variable names lead to fewer errors when the problem is stated using, eg Greek or Cyrillic notation?",2,2,TRUE,
44,"In such a fast changing world, students should somehow know the overarching ""why?"" before they get down to the nuts and bolts of the ""how""",I want to know how important my students see computing/digital technologies. Is it an add-one skill or a primary school that is essential for moving through this world (even if they don't become programmers),It will give me some more background on what skills my learners see as important and also what they are wanting to learn from me,I want to find out how important my learners see coding/programming in their futures,Find out how much programming/coding students have already learnt previous to coming to my class,Get a better understanding of the mindset of the students that I teach.,It would be a topic of class discussion for me to get a better idea of how my students see the world,Modify my teaching program at the very least and certainly make it more individually tailored,Will help me decide whether to teach coding/programming,Will help me decide which programming language to teach in class or how much I should be teaching of each,Why do you think that computing/digital technologies is important?,"Do you think that coding will ever be as important to learn as reading, writing, maths?",What do you think is the most important computing/digital technology skill to be learnt at the time of answering this questionnaire?,Do you think learning any kind of programming language is important in your future? Why?,Which programming language would you like to learn first? Why?,2,2,TRUE,
45,It would be nice to know if there is a benefit for teaching Scratch first or if students can just jump straight into a text-based language.,It scares me a bit when I have Year 9's coming in saying they have 'already done Python'. It makes me worried Primary and Intermediate schools are rushing students and using all the resources they can as soon as they can and not leaving anything for Secondary schools. I also find that the way they have been taught is not 'best practice' as far as the industry is concerned,I always hear the terms used to mean the same thing. I think it is important for schools/teachers/students to know the difference,0,0,Help inform my school and CoL about the best way to teach programming,Same as with Question One. ,the Core ED infographic has helped start the conversation with my SLT ,0,0,Will teaching children Scratch before teaching them Python or Java help them learn the latter faster?,What is the best age to start students with a text-based programming language,"Do schools, students and teachers know the difference between ICT and Digital Technologies",0,0,1,1,TRUE,
46,"Many intro courses were using Java, now many are using Python. Having taught the *second* programming course (which was typed), I noticed significant differences in areas of student struggle.",Most studies are about successful students completing a course or major. I'm more concerned with what isn't working well at the introductory level or what is turning students away.,"The impact of certain courses/topics is often not clear to graduating students. Knowing which topics proved useful shortly after graduating can help instructors in curriculum design. E.g., we had a scheme course that we were considering dropping, but recent grads were able to tell us that functional programming was very useful to their career.","I've had peers argue that we should gate the intro sequence via a math requirement. However, some of our best majors started out in our non-major sequence.","We live in an era where tech news can often dominate a news cycle. But as instructors, we often are focusing on material instead of current events.",Argue that the introductory language should/should not be typed.,Lobby for changes to the introductory course to avoid these issues.,Lobby for changes in curriculum to emphasize topics found useful and seek to strengthen and/or inform students of this information.,Use this to inform decisions regarding requirements for the introductory sequence.,"If there is a connection between the two, seek to involve more discussion of current events into my courses.","For a first programming course, does it make a difference if it is a strongly typed language or not?",What are the factors leading to a student dropping the introductory course? Especially for traditionally underrepresented groups.,"For graduates about 2 years out, what course has been the most useful in your career and why?",What is the longitudinal benefits of a mathematics prerequisite to an introductory course?,Do major news stories about technology companies affect enrollments?,2,2,TRUE,
47,"I teach an undergrad bioinformatics course, and I go back and forth on whether it makes sense to spend about 6-9 class hours plus a few assignments introducing them to Python. Is that amount of time useful, or would I be better off directing them to another class (which many would be unlikely to take)? ",0,0,0,0,I'll decide whether to include an intro programming module in my introductory bioinformatics course. I may also consider incorporating this in workshops that I teach to domain scientists on specific bioinformatics tools.,0,0,0,0,"What is the minimum amount of time that could be devoted to introducing domain scientist students (e.g., bio undergrads) to programming for it to be productive? ",0,0,0,0,2,2,TRUE,
48,My students often struggle to break down large tasks and it would be helpful to know if there are common issues out there.,"Students never want to plan their programs, instead preferring to dive into coding and then fixing issues as they go. It would be good to have evidence, even if just anecdotal, that it is more efficient to plan thoroughly first.",0,0,0,Target activities towards the issues people have so that they can practice and learn how to break tasks down more effectively.,"Use evidence to convince students! Also, adapt the teaching to include more planning before coding.",0,0,0,What concepts do people learning coding find most difficult about breaking down a problem or task into smaller tasks?,Does planning out a program in detailed pseudocode or flowcharts before starting the code result in faster production and a better outcome? ,0,0,0,2,2,TRUE,
49,"We want our students to learn better, but we are being bombarded with myriad suggestions. What works, what works best, and what is something that we as an entire department can focus on?",We want to do a better job recruiting and retaining female students.,The answer is implicit in the question.,I'm in charge of our department's teaching assistant training.,0,Promote it to other faculty and to the department as a whole. Use it as a focus for departmental teaching improvement.,Use it in our recruiting and retention practices.,"Use it in setting boundaries in my own life (I love my job, but I'm tired of spending evenings and weekends working), and pass it along to others.",Revise our training to be more effective,0,"If our whole department were to commit to one change in how we teach, in order to facilitate better student learning, what should that change be and why?",What are the top two or three best practices for recruiting and retaining female students?,"Many teachers are seeing large classes, and burnout is a real possibility. How do we realistically set boundaries on the amount of time we spend, without compromising student learning?","Many department use teaching assistants extensively. What type of teaching assistant training programs are most effective, and why?",0,1,1,TRUE,
50,Wanting to know if lots of exercises is better than just working through an example,I want to scaffold the students programming experiences in a way that is fun and interesting to them. ,0,0,0,Set up Python teaching to match,Use it to extend programming knowledge in Year 10,0,0,0,What is the best way to teach Python?,"What are the best 'gaming' programmes to use to develop programming skills after Scratch and before teaching Python?  (e.g. Unity, GameMaker)",0,0,0,2,2,TRUE,
51,"We run a bootcamp-style program for adults. Students know they'll be in the program a couple months before it begins, and we want to make the best use of that time possible to prepare them for the classroom.","This question has been tricky for us - we think we've got a ""good"" balance, but don't have enough scale to test empirically what results in success, either in the first 6 months or in the long term.","Software bootcamps are disadvantaged compared to universities because we don't typically hire researchers as instructors, so we need help to understand whether we're effective long-term.","A lot of academic research on education focuses on the classroom, not on what happens after, but that's the real measure of success! I do not know if there's a substantial difference in attrition once people are in the door.",It's basically asking what can we do right now to set our graduates up for life success,Assign it as pre-homework.,Adjust our ratio of theory to practice.,Try to adjust our curriculum more towards skills that keep graduates in industry and moving up.,Recognize that there is (or is not) a problem.,set our graduates up for life success,"What types of study, advice or other pre-classroom preparation is most effective at getting students ready to learn computer science?",What balance of CS theory vs practical engineering skills is most useful to new engineers?,What are the long-term career prospects for bootcamp grads? Do they stay in industry? Do they move out of junior positions into senior / lead / principle roles? Do they end up in management or PM positions? Why / how does it differ between programs and types of training?,"As engineers transition from education to industry, how do attrition rates compare between different populations (women, non-binary, people of color, underrepresented minorities, non-native english speakers, people with disabilities, people from disadvantaged backgrounds, etc)? Who's making it to year 2 or 3, or to their first promotion, and who isn't?","Within a given population (accounting for identity features like race, gender or language), what is it that makes for a successful transition from education into industry? In other words, what sets a new engineer up to become an old engineer? Interested in facets of the students and of the institutions where they study.",2,2,TRUE,
52,We have a big drop off in senior classes. Are stereotypes still operating?,Students don't seem to make a connection between drag and drop and text-based programming.,"Digital Technologies, as a Technology subject, has a wide knowledge base but this may be diluted or not at all.",0,0,"work out how to promote to students, parents.","Possibly just teach Python, but make it more fun, like the Scratch GUI",Vested interest I suppose. The subject has to be used as more than just a tool for content.,0,0,What influences girls' decisions to take Digital Technologies at senior school?,"Is it better to teach Scratch first before Python, or not at all?","How can Digital Technologies be taught throughout the secondary curriculum, whilst retaining its knowledge base?",0,0,2,2,TRUE,
53,"While our intro courses are becoming more and more diverse, I fear that retention will be the long-term problem. It's no secret that computer science is a hot area to study now, and there's a strong external push for many students who might not have otherwise thought about taking a CS course to now take one, but we've seen that factors like belonging, self-efficacy, and socio-psychological factors like stereotype threat have a critical effect on student success and retention.","The area of curriculum design and ""how to best teach CS"" is still quite nascent, unlike mathematics or the other sciences which have had considerable years of research to fall back upon. It's a lot less clear what works well in CS, and it's likely to differ by population.",One area that is very different about CS as compared to the mathematics or other hard sciences like physics is how students constantly face failure when debugging programs and throughout the process of learning this discipline which requires discarding a lot of past experiences and instead thinking of computers as formal systems.,"The AP CS Principles curriculum is very exciting, but one of the concerning points to me is whether those concepts will translate to the higher-order and extremely abstract thinking skills and rigor demanded by intro CS courses at the university level. (Though it would be very short-sighted to limit our definition of broadening participation to the number of CS majors.) Some of this is due to selection bias, certainly, but I think more could be done to experiment with new curricula that are more able to prepare students for later success. We're not sure which parts translate well, and what the prerequisites *actually* are when it comes down things like visualization skills or other dimensions.",0,"Motivate pedagogical practices, curriculum design, and interventions for students. Design new learning environments that optimize for best practices.","Motivate pedagogical practices, curriculum design, and interventions for students. Design new learning environments that optimize for best practices.","Motivate pedagogical practices, curriculum design, and interventions for students. Design new learning environments that optimize for best practices.",Motivate our designs for CS4All and use it to better predict whether a proposed curriculum will fare well or poorly given students with a particular set of background experiences.,0,"What are the barriers to students, particularly students from underrepresented backgrounds, to learning and staying with computer science?","What are the aspects of students' background experiences which we can leverage to create more engaging, relevant, and learnable curricula?",How can we help students grow accustomed to failure in CS courses?,"What are the most important concepts to teach students, particularly those in K-12, which best translate to success in later computing courses?",0,0,1,FALSE,
54,because I'm struggling with this balance in my data structures course,trying to build on my students previous c++ course but it all seems to be new ot them ,"I prefer a more applied/coding heavy approach, but I don't know if it would be better for my student. ",trying to think about what tools to incorporate in my teaching 'cause I tend to go overboard and try to include all the librariers/tools/etc,"in data structures, a lot of the assignments are fairly standard ""implement X"" and is that OK?",use it as guidance when working out the balance for my course,restructure the required tools for my course,shift how I teach the material ,recalibrate my lessons,switch up my assignments. ,how do you balance lecture and lab work?,what's the line between reinforcement and extraneous tasks?,is it better to teach higher level courses (data structures/algorithms/etc) with or without labs?,What's the balance between using modern tools and tool overload?,what makes for good homework? More conceptually heavy or is copying out from the book okay?,2,2,TRUE,
55,Am I up to scratch,Know the problems to address them,0,0,0,Either relax or upskill,Assert the oroblem,0,0,0,What is everyone else doing?,What are the major problems involved in learning this content,0,0,0,1,1,TRUE,
56,My school is uncertain about letting students use own devices,Not sure if coding is suited to all students,Not sure about Pi versus Microbit. Other alternatives?,0,0,Use it to help make the decision,Use it in designing our JC curriculum.,Make wise purchases with our very limited budget,0,0,Is school supplied tablets preferable to BYOD?,Should coding be balanced with other computer applications in courseware?,What is the best hardware to purchase for computer science classes.,0,0,1,1,TRUE,
57,"Knowing the answer to this question will accelerate the educational programs we conduct, especially helping those students with poor math skills and/or those who grew up without computers","In the South African (and many other contexts), learners often cannot afford or don't have consistent access to laptops or desktops. However, most people have access to smart phones and take them everywhere. If there were better tools to learn and review concepts, especially if they don't use much data, that would be extremely useful to our learners.",0,0,0,I would implement new teaching methods targeted at those students who need extra help with grasp the basics of computer progamming,Provide access to these resources and build our curriculum around these tools.,0,0,0,What is the best way to teach core programming concepts and skills to learners from lower-tech/low computer literacy backgrounds?,What are the best practices and most useful tools to learn to code on your smart phone?,0,0,0,2,2,TRUE,
58,Disposition is hard to assess. Failed transfer of skills between courses/learning experiences leads to ineffective learning and missed program outcomes.  Identifying that we are teaching a transferrable competency is the #1 interest of employers.,"Need to expand the diversity of computing majors beyond the audience of self-selected Math-Science (STEM) students. Demonstrate, leverage and extend the connections between computing foundations to non-STEM disciplines (e.g., writing, literature, business)  ",Consider an alternative path for entry-level computing through a technology-first approach,0,0,Adjust my course and program outcomes & delivery to focus on developing disposition to transfer. Focus coursework/learning experiences on those transferrable competencies worth transferring from course-to-course,Develop a program that will allow non-traditional students an entry-path into computing ,Restructure a CS-CE path that is more hardware first.,0,0,How to best assess student's disposition to transfer skills from one course to another,"Is there a way to develop computing competencies for non-self-selected students, (e.g., writing students)","Will teaching the underlaying technological foundations of computing (e.g., computer organization, code execution, assembly language, logic, compiler operation) first provide students with a more robust foundation for developing programming competencies?",0,0,2,2,TRUE,
59,Improve CS1,Improve CS1,Reliance upon math in CS departments can turn off students,Reduce plagiarism and improve learning analytics,Improve CS1,Same,Same,Unknown,0,Same,How does each student's backgrounds/preparation effect their success in CS1?,What are the incorrect mental models that students bring to CS1?,What is the difference between CS/IT/CSE educational styles?,How can we better track student's work?,How do online code homework systems improve learning?,0,0,TRUE,
60,Students who won't go on to have computing be a primary focus in their careers likely have different needs from those who will go on to use computational tools more regularly. How to teach to the former group without depriving them of key concepts that they might be expected to know later?,"Students often complain about freeloaders in group projects, and it is more difficult to assess contributions in long-term group projects.","I feel like many of my students don't have the basic understand of how computers work, and so it's hard to know what I can take for granted when teaching.","I try to balance exposure to important tools with the conveniences of GUIs that often obscure principles, but am not sure if I am getting the balance anywhere near correct.","I didn't learn how important it was to carefully document things until grad school, when I had my own precious data or code to steward. How to teach students this level of ownership at the undergraduate level?",Adjust the content of my courses,Increase the number of group projects (beyond smaller group activities) if the benefits outweigh the risks/downsides.,Spend more time at the start of a semester going over remedial (?) material. ,Adjust which platform I use to introduce or build on particular concepts.=,Implement such a strategy immediately!,"How should teachers balance foundational concepts with building tangible outcomes (products), if the latter comes at the expense of the former?","To what extent is individual effort with material more or less effective for learning than group struggle with material. Specifically, is my fear of group project free-loaders supported by data?","How important is it for students to get some general computational literacy before learning programming concepts? E.g. what a filesystem is, the difference between a hard drive and RAM, etc.",Does software environment matter for learning outcomes (GUI text editor vs IDE vs command line vs notebooks)?,How to teach students the importance of careful documentation when they may not continue in the field or with similar projects?,2,2,TRUE,
61,What is the gender imbalance.,So that we can better support our students.,Is there certain skills that are crucial  that students know well before diving into project based learning. ,teaching coding is a time consuming and often lonely endeavor.,I run Girls coding clubs and out of school Moms and Kids coding clubs.,Look for ways to improve female confidence in STEM.  (eg getting more funding to support  female centered computer clubs),Get the business or coding students to apply for more grants.. teaches them proposal writing skills.,change the order of how to deliver the curriculum.,build a collaboration network.,Use the suggested resources.  ,What is the ratio of female identified vs male identified registration?  ,How do we find the funding to support the growing needs of Tech in the classroom (mostly continuously updating items and internet services),Should we be teaching coding through big projects so they learn organically or should there be more of a structure.,How do we find more help to collaborate on classroom projects.,Is there an idea way to introduce coding to kids.,2,2,TRUE,
62,Key to working as a software developer,0,0,0,0,Train adult career-switchers to do software development,0,0,0,0,What are the fundamental processes and practices of successful software developers?,0,0,0,0,1,0,FALSE,
63,My department relaxed its entry requirements to not require passes in A-Level Mathematics.,To ensure that my department's entrance requirements are adequate.,A lot of the Computer Science education research is based on North American data. It would be interesting to find out if these results generalize to other regions of the world.,"I teach a course in Computer Networking course, and I want to investigate which courses are associated with student performance.",0,This can influence my department's entrance requirements.,Address my department's entrance requirements,This will help influence how much weight to place on results from outside my region.,Revise the pre-requisites for my course.,0,Is there more current that indicates how high school Math scores are associated with performance in tertiary Computer Science courses?,Are there any subjects from high school that are associated with good performance in tertiary Computer Science?,Are there any regional differences in which subjects are associated with success in tertiary Computer Science?,Which preliminary content from CS is especially relevant to students taking courses in Computer Networking and Computer Organisation,0,1,1,TRUE,
64,I think that teaching programming through lectures is difficult and not terribly effective.  Perhaps we should just have a lab course -- it might be as effective as lectures.,Curious to know if these help at all.,"Ontario has stopped (for the most part) training CS teachers.  Where will our teachers come from?  In the US, they are training random teachers to teach CS.",I believe many girls are turned off CS in high school because of the male:female ratio among other things.   ,0,Cancel my lectures and turn the course into a 3 hour per week lab session.,Start doing more outreach,If the answer is yes -- I'll start thinking about working with teachers.  If the answer is no -- I'll start lobbying at my university to bring back the CS teacher training.,Probably I won't do anything -- but it would make a good case for high schools to offer some all girl classes.,0,Do lectures add much to a computer science course or do students learn most of what they need to know by doing assignments?,Do early outreach activities (ie. grades 5/6) really have any impact on girls entering the stem field?,Can we turn any random secondary school teacher into an effective computer science teacher?,Will girls learn CS more effectively in an all girl class?,0,2,2,TRUE,
65,I think it would be a helpful research result for preparing students for programming. ,I think it would be a helpful research result for preparing students for programming. ,It would be helpful to know what better prepares students for college/industry.,It's a common problem for our students.,It would be helpful for HS students who intern with us,"If true, we could strengthen people's pattern matching skills before they enter into a programming course.","If true, we could find new ways to strengthen people's ""grit"" before they enter into a programming course.",It would be helpful as an educator to know which coding paradigms have more successful student outcomes in the long-term. I would choose specific languages to teach with or focus on specific paradigms.,Change the way we move students from visual to typed languages,We will teach our HS students who intern with us different langauges,Does someone's ability to pattern match predict how well someone will do in their first programming course if they've never programmed before?,"Does someone's ""grit"" predict how well someone will do in their first programming course if they've never programmed before?","Do students have more success in college level classes if they were initially taught programming with a ""functional"" paradigm (Lisp languages) or a ""object oriented"" paradigm (Java)? ",What's the most efficient way to move students from a visual programming languages to a typed programming language?,What's the most useful language for a college student to learn right now?,2,2,TRUE,
66,I presume that the reason is historical. I keep hearing that C is the best option in 2018,0,0,0,0,Try to change the syllabus,0,0,0,0,Why do Computer Science and Engineering schools teach C as a first programming language?,0,0,0,0,1,1,TRUE,
67,"I have some concerns that students who have seen some code elements earlier find their high school years boring, and arethus turned off.  In other words, they 'peaked' too young in their interest.","We need to have the best resources in place first if we hope to draw more students to the subject, or to handle an influx of students due to curriculum reform.","As a high school teacher of 15 years, I am really feeling a disconnect from 'reality'.  I did a co-op in my undergrad, but did not spend any time in industry.  I find it hard to be connected to industry practices and trends without direct exposure to them, and that impacts the authenticity of my own delivery.  This is an issue not faced in other less dynamic disciplines.  Is there a need for some form of co-op for teachers themselves?","If I was to implement my own version of a Code Camp, what would I need to be aware of in order to not contribute to equity concerns.",0,"This feedback can help inform local curriculum delivery, dialogue with feeder schools, etc.","Inform my own practice, but also help me to mentor others who are looking to teach at the high school or elementary level.",I would like to feel more 'current' and engaged.,0,0,"There has been a strong push to teach younger kids programming through camps, clubs, online resources, and in some schools.  What is the impact on the attitudes of those learners as they grow into high school level, where the course options are still at a base level?","Isolated professional development sessions for can be inspirational when done well, but are not at all adequate training for teachers to properly delivery a dynamic curriculum, where having a mastery of the material beyond the students allows them meet a variety of students needs.  How can teachers be properly trained or recruited in order to be inspirational and effective teachers of the discipline?","The field is so dynamic, and it is very hard for teachers who are often working solo in a school to further their own knowledge to meet the changes in the domain of their their 30+ year careers.  How can teachers maintain relevancy in a more practical way?","Camps and daycare for kids used to be fairly generic and play-based.  Now there are more 'boutique' options for kids driven by the STEM push such as code camps, science camps, etc.  These are often delivered by for-profit companies, and can be quite costly.  Has this led to a socioeconomic gap in the students who choose to pursue the discipline (which we may not see until another 5-10 years from now)?",0,1,1,TRUE,
68,Looking for evidence to support the use of particular instructional strategies in intro and non-majors computing courses.,0,0,0,0,I'm already investigating this topic as well,0,0,0,0,What instructional strategies have evidence supporting their successful use in intro to CS or non-majors computing courses?,0,0,0,0,0,0,TRUE,
69,So I can ensure the techniques we use are appropriate for each age group.,So I can help students remember the programming statements easily so they can focus on problem solving.,0,0,0,Plan lessons to teach the most effective method of problem solving in each age rang.,Tailor our curriculum to use these methods.,0,0,0,"What methods for teaching problem solving skills work well with different age ranges?  (perhaps this could be limited to KeyStage 2, 3, 4 and 5 rather than actual ages)",What methods help students remember all the different keywords/constructs in a programming language?,0,0,0,2,2,TRUE,
70,"Teaching individually can lead to quicker growth for strong students, but in the real world almost all work is done in a team environment.",To better understand if teaching the theoretical is worth it anymore.,0,0,0,We could adjust our curriculum to focus on more individual or more team projects,Possibly add in more Computer Science topics or focus more on building real world applications,0,0,0,Is it better to have students come out with strong individual project/application building skills or should they focus on working in team environments?,Is it more important for people to have hands-on experience from an education program or theoretical? ,0,0,0,2,2,TRUE,
71,"A new digital curriculum will be implemented in all NZ schools by 2020. My concern is that, if not taught well, more students would be turned off from learning to code when they reach high school.","Majority of my students are boys who would be interested in game development. But I feel it would push girls out of the class, and there is a lot more in programming than gaming.","We have to teach planning as it is part of the assessment. However, most students, especially at lower levels, do not like writing down the steps of algorithm in their program. They write the code first then change it back to natural language for the sake of planning.","I struggled with teaching Python to juniors (with the exception of a few who are keen coders). They find it difficult to learn the syntax (accuracy) and understand the logic with loops when it is purely text. However, students have the perception that Scratch is not real programming.","A fairly large number of students choose Programming because they have family members working in the industry, especially girls. There are few Maori or Pacific Island students who may take the subject in Year 9 but won't continue with it.",Probably not much I can do as it is a new government policy. The intention is good but how effective it is to promote CS education or to push students away is unknown.,Adapt my teaching programme to meet the needs of students.,"Thinking ahead is important but I want to find out what kind of planning will help learners develop their programs. I am only talking about small programs for beginners (snippets  of code), not real world program where planning is essential.",Restructure my teaching programme and work on more effective pedagogy.,"Find ways to attract more students into computer science or develop their interest in this area, or am I fighting against the ""gene pool""?",Should ALL children learn to code from primary school? Or does the age one starts learning to code matter?,"Some schools teach programming in the context of game development, eg Unity. Is it more effective than using Python?",Does the use of planning tools like flowchart help beginners learn to code?,"What type of programming is more suitable for an average junior student (12-14yrs old), visual programming (drag and drop) or text-based language like Python?",Does family background play an important role in attracting students into CS classes with a better chance of success? Is it because they are more exposed to the opportunities in this industry or because of the family genes?,2,2,TRUE,
