ID,ParticipantID,QuestionID,Category (BB),Category (MC),Category (GW),Category (PD),Categories,UnifiedQuestion,RawQuestion,Why,What,
85,108,1,Pedagogy,Pedagogy,Student Behavior,Engagement,Student Behavior,How can we motivate students in large courses to participate in exercises?,How can we motivate students to participate in exercises in large courses?,It would improve my classes if I can motivate more students,Try to implement it in my large courses,
86,25,2,Poor Question,Curriculum,Poor Question,Curriculum,DISCARD,DISCARD,"What real world, but accessable coding assignments can I make to introduce the concepts from question 1?",Situations and examples of real world software projects that require the techniques in question 1.,I will use these to build assignments for teaching computer science in my classes.,
87,112,4,Pedagogy,Pedagogy,Poor Question,Poor Question,DISCARD,DISCARD,does explicit learning about spotting patterns actually help children to spot patterns,"children who struggle to spot patterns- is it because they haven't been asked to at home via games, teasing, chat etc. have they missed out intellectually . can school make that up with explicit lessons in ways of thinking and analysing. will they then start to generalise.",build in explicit teaching for those who need it to 'close the gap' .  with evidence teachers can be convinced of the worth of the effort.,
88,92,2,Broader Social Context,Broader Social Context,Predictors,Predictors,Assessment, Student Understanding,What impact does learning to program have on students’ competence in mathematics?,"Can programming help students in their mathematical learning e.g. coordinate geometry, geometry (angles) etc?","I teach Mathematics (all levels at post primary) and Coding (Junior Cycle and TY). I often use Scratch in Maths classes. While I appreciate that one doesn't necessarily need maths to do programming, nevertheless I think programming can help maths skills.",Introduce more coding into maths classes. E.g. when talking about variables in Algebra. 
89,8,2,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What languages are most effective for teaching children?,which is the best language to learn for juniors?,"i use App Lab but others use scratch or Alice. I think App Lab is easier to understand, but others disagree. Does it matter what you use?",Use a different language perhaps.,
90,19,2,Languages and Tools,Languages and Tools,Professional Development,Curriculum,Curriculum,What resources can computing teachers use that are not language specific?,"What resources would a coding teacher use, which is not language driven ","I always find it difficult to find ""on topic"" exercises which are ""PROBLEM SLOVING"" outside of coding language",implement in CS classes,
91,24,4,Pedagogy,Pedagogy,Student Behavior,Pedagogy,Student Behavior,"What benefits do social aspects of classes (e.g., collaboration) have on novice programmers?",What social aspects (e.g. collaboration) provide the most significant benefits to novices?,The university curriculum is primarily focused on individual learning.,Incorporate group activities into lecture that provide the most benefit to students.,
92,99,2,Inclusivity,Inclusivity,Pipeline,Inclusivity,Inclusivity,"How effective are combination programs (e.g., math + CS) at attracting students from underrepresented groups?","Does Math + CT offer an alternative ""on-ramp"" to software design able to attract girls and boys in equal numbers?","Girls are not choosing CS courses in parity with boys.   Our prelim results indicate that girls who are confident about their math abilities can alternatively enter CS by studying Math + CT.   If this result can be validated, it could open up study opportunities for girls.","If answered in the affirmative, I will have a strong case to take our Algorithmic Geometry w/ Java course into a dissemination phase.   I am considering founding a Computational Math Institute that would develop additional 9-12 Math + CT courseware, and primarily train credentialed Math teachers.",
93,112,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,"What is the impact of teaching computing concepts “unplugged” (i.e., without programming) alongside teaching programming?",what difference does it make to teach concepts unplugged alongside via coding on the computer,i think drama helps children to understand what is happening in the coding and makes them think about sequence etc but that is just my observation. with evidence it could be introduced across school,roll it out to other teachers- I'll put in the work planning if they will deliver it,
94,72,4,Languages and Tools,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,What are the relative merits of using drag-and-drop/blocks-based tools vs textual tools for introductory programming classes?,"What type of programming is more suitable for an average junior student (12-14yrs old), visual programming (drag and drop) or text-based language like Python?","I struggled with teaching Python to juniors (with the exception of a few who are keen coders). They find it difficult to learn the syntax (accuracy) and understand the logic with loops when it is purely text. However, students have the perception that Scratch is not real programming.",Restructure my teaching programme and work on more effective pedagogy.,
95,49,1,Mental Models,Mental Models,Mental Models,Mental Models,Student Understanding,What do people find most difficult when breaking problems down into smaller tasks while programming?,What concepts do people learning coding find most difficult about breaking down a problem or task into smaller tasks?,My students often struggle to break down large tasks and it would be helpful to know if there are common issues out there.,Target activities towards the issues people have so that they can practice and learn how to break tasks down more effectively.,
96,87,5,Pipeline,Pipeline,Assessment,Predictors,Student Understanding,Does teaching students computer science theory help them program (either while students or afterward)?,How does computer science theory actually help developers?,"I don't know if I should teach and assess CS theory to a level where I am confident students can apply the material, or if it is enough (especially in an age with Google and Wikipedia) to ensure familiarity with the names of the branches of computer science and an awareness of when the theory might be applicable -- so that my students can look up the theory online when they actually need to use it. There is plenty of theory I never learned when I was a student, but I believe I'm still effective because I can look it up on a just-in-time basis.","I feel like students aren't really engaged when I talk about theory: if it is because they recognize its irrelevance, then I'll focus more on applicability; if it is because they don't want to work hard, then I'll continue pushing theory.",
97,115,1,Poor Question,,Assessment,Poor Question,DISCARD,DISCARD,"Among the classical computer science paradigms, all leave a % of the student aside. What is that % for structured programming, recursivity, Object Orientation, Pointers, Functional programming. Same thing for classical data structures. Same things for classical algorythms. ",Be aware of how many students should give up. How to improve those %.,Adapt!,
98,93,1,Pedagogy,Pedagogy,Assessment,Assessment,Pedagogy,"How does the effectiveness of short, condensed courses compare to that of longer, less intensive courses?","Are short, condensed courses (a few consecutive days) sufficiently effective (wrt learning outcomes) to continue developing? Do the pros outweigh the cons?",Required to propose and implement curriculum and scheduling,Adapt curriculum accordingly,
99,72,5,Inclusivity,Predictors,Inclusivity,Predictors,Inclusivity,What role does family background play in students’ decisions to take (or not take) computing classes?,Does family background play an important role in attracting students into CS classes with a better chance of success? Is it because they are more exposed to the opportunities in this industry or because of the family genes?,"A fairly large number of students choose Programming because they have family members working in the industry, especially girls. There are few Maori or Pacific Island students who may take the subject in Year 9 but won't continue with it.","Find ways to attract more students into computer science or develop their interest in this area, or am I fighting against the ""gene pool""?",
100,12,1,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,What are the relative merits of teaching top down (high-level concepts first) vs bottom up (concrete operations first)?,"Should we teach students ""top down"" (use high level constructs) or ""bottom up"" (start with basic operations, conditionals, loops etc)?","I have tried teaching R both ways; I believe top down (e.g. dplyr, ggplot2) works better but it would be nice to know!",Modify how I teach undergraduates to use R for data visualization and analysis,
101,32,1,Predictors,Predictors,Predictors,Predictors,Predictors,Is it possible to predict how well someone will do in their first programming course if they have never programmed before?,Is there any way to predict how well someone will do in their first programming course if they've never programmed before?,"I, and others, have a common belief, backed by little data, that some people ""just get it"" better or faster than others.  But I'm not sure how true that is, and the belief may provide a justification for various implicit unrecognized biases that harm certain people coming into CS.","If there is a predictor, then I could consider that when advising students interested in CS.  If there isn't, then I could correct my inaccurate and possibly harmful beliefs.",
102,90,2,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using drag-and-drop/blocks-based tools vs textual tools for introductory programming classes?,"Should I teach scratch or other drag and drop methods rather than ""pure"" programming?","because I dislike scratch and avoid it, but will use it if that's the best thing for the students",start introducing scratch instead of jumping into Python straight away,
103,43,5,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,What are the relative merits of teaching computing concepts breadth first vs depth first?,"In introductory computer science courses, do students benefit more from a breadth or depth approach to computer science?   ",Computer science as a field of study is extremely vast. In an effort to expose as many students as we can to CS instructional practices are not often analyzed simply because we are happy if an instructor teaches CS at all. In many ways the field is the wild wild west where anything goes. I want to know if we either go far too in depth too fast with students or too broad. What is the ideal approach? ,Better inform instructional practices. It could also be used in teacher education programs. ,
104,49,2,Pedagogy,,Pedagogy,Assessment,Student Practices,Does planning a program using pseudocode or flowcharts before starting to code improve students’ outcomes?,Does planning out a program in detailed pseudocode or flowcharts before starting the code result in faster production and a better outcome? ,"Students never want to plan their programs, instead preferring to dive into coding and then fixing issues as they go. It would be good to have evidence, even if just anecdotal, that it is more efficient to plan thoroughly first.","Use evidence to convince students! Also, adapt the teaching to include more planning before coding.",
105,52,1,Pedagogy,Curriculum,Pedagogy,Predictors,Predictors,What types of pre-classroom preparation are most effective at getting students ready to learn computer science?,"What types of study, advice or other pre-classroom preparation is most effective at getting students ready to learn computer science?","We run a bootcamp-style program for adults. Students know they'll be in the program a couple months before it begins, and we want to make the best use of that time possible to prepare them for the classroom.",Assign it as pre-homework.,
106,105,1,Pipeline,Pipeline,Pipeline,Predictors,Pipeline,What impact does taking a computing course in middle school or high school have on students’ decisions to take or not take computing at college?,Does taking a computing course in middle or high school increase the probability students will take a computing class in college?,This can inform  education systems to offer more computing classes for middle and high school age students.,Try to develop modules for teaching computing to middle and high schoolers.,
107,83,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What are the best teaching strategies to use in computing classes for students with physical disabilities?,What are the best teaching strategies to use for students with disabilities?,I have had students that have learning disabilities that I have been unable to help understand some computing concepts.,Apply the answer to the students in my classes.,
108,51,2,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Are game-based tools like Unity and GameMaker effective for developing programming skills after blocks-based tools like Scratch but before text-based tools like Python?,"What are the best 'gaming' programmes to use to develop programming skills after Scratch and before teaching Python?  (e.g. Unity, GameMaker)",I want to scaffold the students programming experiences in a way that is fun and interesting to them. ,Use it to extend programming knowledge in Year 10,
109,76,3,Pedagogy,Curriculum,Pedagogy,Curriculum,Predictors,How important is it for students to understand computer architecture in order to write efficient software?,How important is it to understand computer architecture to write efficient codes?,"Because most research codes are very inefficient (performance + energy efficiency); users obviously don't understand how a computer is ""organized"" and how it impacts the performance and energy consumption. We try to teach potability as much as possible but we often need to optimize our code. I don't know what is the best approach for teaching this topic. It is difficult to have hands-on on debugging, performance analysis, optimization with ""fake"" codes but hands-on with user codes are often difficult to manage. I wonder if having studyGroup/Hacky hours would help.",I would change my strategy to teach performance analysis and optimization and show how energy consumption can be impacted too.,
110,108,3,Poor Question,Assessment,Poor Question,Assessment,DISCARD,DISCARD,How much assessment do we need?,Assessment can be positive (feedback) and negative (high pressure),Try to balance the amount of assessment,
111,96,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Broader Impact,What are the long-term benefits (if any) of people learning to program as children?,"Is there a benefit to teaching coding early and often like we teach other basic subjects (math, writing, etc)?","There seem to be two conflicting ideas in teaching programming. One is that we should be doing it more and sooner, that it should be part of a degree program at least. However, when we teach courses, we focus heavily on motivating our programming at the beginning of a lesson lest the students not care enough to learn it. It seems strange to think that many/all students should be exposed to programming, but that adults who voluntarily take a course like SWC need constant motivation to be bothered to learn a skill they presumably need at this point.   ","I would like to develop/pitch teaching programming for biologists as part of a 4 year degree, but there's very little evidence to point to that suggests it's worthwhile. Is it?",
112,79,3,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What are best practices for instruction in a computer lab?,What are the best practices for instruction in a computer lab setting? ,To better design lab sessions.,Change how my lab sessions are designed.,
113,48,1,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,"What is the minimum amount of time that needs to be devoted to introducing non-computer science students (e.g., biologists) to programming in order for it to be productive?","What is the minimum amount of time that could be devoted to introducing domain scientist students (e.g., bio undergrads) to programming for it to be productive? ","I teach an undergrad bioinformatics course, and I go back and forth on whether it makes sense to spend about 6-9 class hours plus a few assignments introducing them to Python. Is that amount of time useful, or would I be better off directing them to another class (which many would be unlikely to take)? ",I'll decide whether to include an intro programming module in my introductory bioinformatics course. I may also consider incorporating this in workshops that I teach to domain scientists on specific bioinformatics tools.,
114,74,2,Inclusivity,Inclusivity,Pedagogy,Inclusivity,Pedagogy,"What methods are most effective for teaching computing to students outside STEM disciplines (e.g., art, music, and literature)?","What are effective methods to teach CS outside of the traditional STEM environment for students who learn differently than STEM students (i.e. art, music, literature, ...)?","I'm interested in interdisciplinary CS courses that try and reach a student population that initially have no idea about computer science and/or think it's ""not their thing"" (when it actually may be).","Try to offer more non-traditional courses that can be applied to many fields of study, while teaching CS to students outside of STEM.",
115,33,2,Pedagogy,Curriculum,Pedagogy,Curriculum,Curriculum,What are the relative merits of teaching object-oriented programming first vs teaching imperative programming first?,Most APCSA curricula teach static methods well before classes/OOP. Do students who learn OOP first have advantages/disadvantages in terms of how well they understand concepts?,"using standard APCSA curriculum, OOP seems a big hurdle. i think it's simpler to learn objects first but others don't","possibly restructure the course, maybe change IDEs",
116,35,1,Pipeline,Professional Development,Student Behavior,Student Behavior,Student Behavior,What events or activities first make students self-identify as programmers?,When and/or what activity made you (the student) feel like/self identify as a programmer? ,"Metacognition is pretty cool, this question will force students to think/reflect about their experiences. They will either have a time/event where they felt like a ""programmer"" or we will learn that they don't identify as a programmer. I think this question is best asked at the end of a ~semester length project. ",I would tailor my teaching to promote self-identity as a programmer. ,
117,112,1,Pedagogy,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools, Pedagogy,What are the relative merits of sticking to one programming language when teaching children vs using two or more languages?,Is it better to teach one coding language so that children can grapple with new concepts rather than with new coding languages,the NC suggests giving children experience of diff languages but I see the strugglers finding a new language distracts them from concepts (concepts = loops or conditionals for example),be able to say it is evidence based to work with only Scratch for example. teachers say children get bored. I think teachers dont have enough subject knowledge to truly teach coding concepts via scratch
118,19,1,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,What are the most useful things high school teachers can do to help students succeed in computing careers (both in academia and industry)?,What should a grade 11 CS teacher do to help their students continue on the coding career path,"I have many ""try"" coding garde 11 class, but half do not continue with taking grade 12",update grade 11 course,
119,99,1,Poor Question,Poor Question,Pipeline,Awareness,DISCARD,DISCARD,Does multiyear study of CS before grade 9 raise expectations among students that 9-12 math be revised to incorporate CT?,"If k-8 CS fundamentally raises expectations to learn Math + CT rather than pre-computational Math, a 5-7 year lead time will be necessary to develop, test and roll out Math + CT in grades 9-12","If answered in the affirmative, I will have a strong case to take our Algorithmic Geometry w/ Java course (piloted 2 years in public school) into a dissemination phase.",
120,77,3,Curriculum,Broader Social Context,Curriculum,Curriculum,Curriculum,What topics or skills in computing are general or transferable enough to be taught in courses of other disciplines?,What topics or skills in computing are general or transferable enough to be taught in courses of other disciplines?,A benefit of learning computing is it helps learners better understand and solve problems. Leaners who appreciate this see the transferability of skills in other contexts useful for them. Is there an opportunity to expose a wider audience of learners to these valuable skills?,,
121,100,5,Predictors,Predictors,Predictors,Predictors,Predictors,Is it possible to predict how well someone will do in their first programming course if they have never programmed before?,What skills or indicators can be used to predict if a student will be successful in a CS course?,"It could help recognize a list of recommended ""prerequisite"" skills for students to have or work on.",Create a list of required skills or taining resources to help develop the skills,
122,37,1,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,What kinds of programming exercises are most effective when teaching students Computer Science?,"Are there different types of programming-driven exercises students can complete to learn CS? If so, what are they?","While programming is only a small portion to CS, in order to be successful in CS students need to know how to program. However, many current novel exercises focus on group work or involve languages that are not used in industry. Parson's Programming Puzzles are an example of a programming-driven exercise that helps with code writing, through its ability to teach ode tracing is still being researched. There is current research looking into teaching symbolic reasoning as a method of tracing. Additionally, the first issue students face in college-level courses are syntax errors. The current solution to learning syntax errors is to ""deal with them"" during traditional programming exercises. Instead, can there be exercises to teach syntax and CS concepts without problem solving?","Obviously, I would include them into my classrooms",
123,73,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What practices are most effective when teaching programming in very large classes (hundreds of students)?,"What are effective teaching practices for teaching at scale (i.e., >200 students at a time)",Our courses continue to grow such that even 400+ student courses are the norm and ~1000 student courses are not that unusual.,I would explore ways of modifying my own teaching practices and incorporate them into my faculty development work.,
124,87,4,Assessment,Assessment,Assessment,Assessment,Assessment,How can an instructor tell whether students are actually reflecting on their work?,"How do you assess behaviour change in reflective practice? i.e., How do you tell the difference between students who are engaged in genuine reflective practice and those clever students who have learned the right language and words to pretend that they're engaging in reflective practice only to ""please"" the marking criteria?","I fear that some of my talented students have learned how to look like they're engaging in reflective practice, but they're just going through the motions.",Change the assessment.,
125,93,2,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,"To what extent, and how, should self-directed learning be used to complement in-person teaching in computing?","To what degree, and how, should self-directed learning be used to complement face-to-face?",Would like to focus face-to-face efforts on more interesting topics than basic/intro material,Potentially push more basic/introductory material to self-guided material,
126,86,2,Poor Question,Professional Development,Pipeline,Broader Social Context,Pedagogy,What teaching methods or curriculum are most effective at persuading students in other disciplines to incorporate programming into their work?,What methods can we get to have researchers be more willing to incorporate code into their lives?,Improving reproducible research,Implement these methods in courses I develop,
127,28,3,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,What knowledge and skills are new graduates of computing programs most often missing that they need?,What skills do students need for programming after college that they commonly graduate without?,Improve our CS program,Incorporate those skills into our courses,
128,119,1,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What languages or tools are most effective for introducing object-oriented programming?,What is the best language/framework to use to introduce and teach object-oreinted programming to novice programmers?,To inform my teaching of first year university univesity students,Use it in my teaching ,
129,31,3,Pedagogy,Inclusivity,Pedagogy,Inclusivity,Pedagogy,What computing concepts and skills can young children (up to 7/8) actually learn?,What computing concepts and skills can be effectively taught to young children (e.g. younger than 7 or 8)?,Pure curiosity,Read the results with great interest,
130,60,4,Languages and Tools,Languages and Tools,Assessment,Assessment,Assessment,What are the most effective ways to monitor and track students’ work in computing classes?,How can we better track student's work?,Reduce plagiarism and improve learning analytics,,
131,18,2,Pipeline,Engagement,Pipeline,Awareness,Engagement,Why do so few students take computing classes in high school?,Why are there so few students taking CS in high school,know the students better,redesign the course for the student,
132,103,1,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,What are effective methods for teaching students to develop algorithms prior to beginning coding?,What is an effective method to teach how to create algorithms prior to coding?,Have tried various methods and once students start coding their algorithm work decreases and they start coding without having a valid algorithm,Change the way I teach algorithms,
133,29,3,Pedagogy,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,"What are the relative merits of using frameworks, pre-built code snippets, or skeletons in introductory programming classes?",Does the use of packages/frameworks/custom libraries help or hinder the development of a programmer?,"There is a tendency to use these packages to make programming more interesting (processing, pygame, robocode etc...) but do they detract/mislead new programmers from core logic skills that are needed.",May want to limit or expand the use of these packages.,
134,50,4,Professional Development,Professional Development,Professional Development,Professional Development,Teacher Development,What types of training for teaching assistants are most effective?,"Many department use teaching assistants extensively. What type of teaching assistant training programs are most effective, and why?",I'm in charge of our department's teaching assistant training.,Revise our training to be more effective,
135,99,5,Languages and Tools,Languages and Tools,Pedagogy,Curriculum,Languages and Tools,"How easily can students transition from the 2D model of turtle graphics used in Scratch, Logo, and similar systems to thinking in 3D?","Does the ""2D turtle graphics"" paradigm employed in CS courses, and vested in Scratch, Snap!, Blockly, Logo, Khan Academy CS..., provide a natural extension into teaching 3D geometry?  Or, does ""turtle graphics"" leave CS students ""stuck in 2D land""??","I have serious concerns that ""turtle geometry"" is a deficient foundation for learning spatial math.   The modern approach is to adopt a vector-based math foundation in 2D that scales up intuitively for use with 3D.",Build a stronger argument for a 6-12 mathematics foundation based on Cartesian coordinates and vector geometry coupled with software authoring.  Provide a more general/extendable alternative to turtle geometry.,
136,66,2,Predictors,Predictors,Predictors,Predictors,Predictors,How well does someone’s “grit” predict how well they will do in their first programming course if they have never programmed before?,"Does someone's ""grit"" predict how well someone will do in their first programming course if they've never programmed before?",I think it would be a helpful research result for preparing students for programming. ,"If true, we could find new ways to strengthen people's ""grit"" before they enter into a programming course.",
137,28,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What can teachers do to improve participation by underrepresented groups in computing?,How can we do in the classroom to make computing more accessible to under represented groups?,social justice,Do the recommended things in my class,
138,75,1,Engagement,Engagement,Pedagogy,Engagement,Engagement,What steps are most likely to reduce drop rates in online computing courses?,What concrete measures can be taken to reduce the drop rates in online courses?,So that I can apply these techniques in my course(s) and decrease the drop rate.,"If possible, I would apply the appropriate techniques to online courses that I teach.",
139,46,1,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,What impact does learning blocks-based tools like Scratch have on subsequently learning text-based tools like Python?,Will teaching children Scratch before teaching them Python or Java help them learn the latter faster?,It would be nice to know if there is a benefit for teaching Scratch first or if students can just jump straight into a text-based language.,Help inform my school and CoL about the best way to teach programming,
140,40,2,Languages and Tools,Curriculum,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using a typed vs untyped language in an introductory programming class?,Is it better to learn programming with a statically or dynamically typed language?,"Dynamically typed languages seem easier for many reasons, but they also allow users to make subtle, costly errors both in terms of correctness and scalability.","Decide whether to start with a language like Python or one like Java (or even C!). I tend to teach adults, so I'd imagine the answer is different if one is teaching children.",
141,88,2,Pedagogy,,Languages and Tools,Languages and Tools,Languages and Tools,How easily can students switch between different programming languages while learning?,Can students easily switch between programming languages and environments,People learn 1 or 2 languages and stay with them,If we can know why and understand the way it is being taught we will prepare a better student for the market,
142,62,5,Pedagogy,Inclusivity,Pedagogy,Curriculum,Pedagogy,What teaching practices are most effective for teaching children?,Is there an idea way to introduce coding to kids.,I run Girls coding clubs and out of school Moms and Kids coding clubs.,Use the suggested resources.  ,
143,47,2,Pipeline,Pipeline,Pipeline,Predictors,Engagement,"What factors most influence drop rates in introductory computing classes and (how) do these factors vary according to student demographics (age, gender, orientation, etc.)",What are the factors leading to a student dropping the introductory course? Especially for traditionally underrepresented groups.,Most studies are about successful students completing a course or major. I'm more concerned with what isn't working well at the introductory level or what is turning students away.,Lobby for changes to the introductory course to avoid these issues.,
144,9,3,Awareness,Awareness,Student Behavior,Awareness,Student Understanding,Why do some students believe that software development is solely a matter of programming?,"Why do some students think programming is just about coding, with no insight into the theory behind the practical?","Students seem to have a disconnect between the theory and the practical, they might know the theory, be able to apply it to a specific scenario, but as soon as the scenario changes they cannot apply the theory.",Improve teaching and learning. Publish findings.,
145,100,1,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What impact does learning to program with game-based tools like Unity and GameMaker have on students’ understanding of fundamental computing concepts?,"Will learning how to program using games, such as Scratch, GameMaker or Unity help students with in-depth understanding fundamental concepts in programming?","We spend a lot of time makng games in high school, because they seem to be more applicable, but does that help in preparing them for CS and Engineering.","Games are easy and fun ways to learn programming, so I would incorporate more. I'm afraid parents and other stakeholders would not count it as ""real life"" experience.",
146,42,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,"What is the relationship between student demographics (age, gender, orientation, etc.) and their understanding of fundamental computing concepts?",Is there a difference between genders in understanding fundamental computing concept?,I teach at an all girls school,Will help structure how I teach,
147,47,3,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,What do students learn in college-level computing programs that they consider most valuable two years after graduation?,"For graduates about 2 years out, what course has been the most useful in your career and why?","The impact of certain courses/topics is often not clear to graduating students. Knowing which topics proved useful shortly after graduating can help instructors in curriculum design. E.g., we had a scheme course that we were considering dropping, but recent grads were able to tell us that functional programming was very useful to their career.",Lobby for changes in curriculum to emphasize topics found useful and seek to strengthen and/or inform students of this information.,
148,61,3,Pedagogy,Curriculum,Mental Models,Curriculum,Curriculum,How important is it for students to have a general understanding of how computers work before learning programming concepts?,"How important is it for students to get some general computational literacy before learning programming concepts? E.g. what a filesystem is, the difference between a hard drive and RAM, etc.","I feel like many of my students don't have the basic understand of how computers work, and so it's hard to know what I can take for granted when teaching.",Spend more time at the start of a semester going over remedial (?) material. ,
149,25,4,Poor Question,Poor Question,Poor Question,Poor Question,DISCARD,DISCARD,How do I program distributed robotic swarms?,I think this has future potential and it is an interesting end to robotics units.,I will probably finish creating assignments to use EV3 robots' wifi and program a coloured block moving program and a flock of birds program (perhaps a hockey program?). ,
150,103,2,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,How can we improve computational thinking skills in high school students?,How to teach to increase computational thinking skills to high school students weak in algebra?,Would like to know how to increase students algebraic skills and computational thinking skills,Use these methods to become more effective ,
151,81,1,Curriculum,Pedagogy,Curriculum,Engagement,Curriculum,What is the effect of work load and pacing on motivation and retention in introductory computing courses?,"In terms of longitudinal motivation/success/retention, what pacing (amount of work, number of learning objectives, strictness of exams, etc.) is most appropriate for introductory course sequences (CS1-CS3)?","There seems to be few to no guidelines on how much to teach and how quickly. Some papers have raised the idea that we demand more than is reasonable out of introductory students, and this harms them more than helps them. I hypothesize that by assigning less work and giving students more time on a smaller set of topics, we could see long-term improvements in retention, motivation, and learning outcomes.","With this answer, I will force my department to teach less at a more moderate pace. Unless it turns out that faster is better, in which case I would teach more than I currently do at a faster pace.",
152,87,2,Pedagogy,Pedagogy,Student Behavior,Student Behavior,Student Behavior,"When and why do students ask for help in labs, and are such questions a sign that things are going well or not?","Why do students ask for help in lab sessions, and are questions a sign that things are going well or not going well?","I've noticed that students are a lot more self-sufficient in answering questions with the help of Google, online courses and stack overflow. I seem to get less questions but I'm not sure if that is a good thing or a bad thing!",If it is a bad thing -- then do I need to encourage more questions or do I need to teach different content that is more likely to provoke questions?,
153,104,2,Pipeline,Pipeline,Professional Development,Assessment,Teacher Development,How is “good quality software” defined for computing teachers and how does this compare to the way that professionals define it?,"What defines ""good quality software"" for faculty teaching programming courses and how does this compare to the way that professionals define good quality code?","First, I have started to do some research in this area because I think it is an important question. Many faculty members have never worked with largescale code and may see different things as important when it comes to high quality code. My hypothesis is that industry professionals see quality in terms of larger scale concepts such as straightforward design, testability, and ease of modification.",It helps inform my own research,
154,106,3,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,"(How) do student demographics (age, gender, orientation, etc.) determine the effectiveness of different teaching methods?",Is there a single best way of teaching programming or what are the contextual factors influencing the efficiency and effectiveness of any one approach to teaching programming?,"There is a good amount of literature on teaching programming, but it is still fairly heterogeneous and disintegrated. As a result, it is difficult to transfer insights from one context to another and, thus, to improve the teaching and learning of computing at scale. Does everyone have to reinvent how to teach programming in their local context or can we identify global best practice that can be easily reused by teachers everywhere? What are the contextual factors that require course contents, structure, materials etc. to be adapted?",Reuse the catalogue of best-practice teaching in my own teaching,
155,81,5,"Is learning to program like learning a language? If so, what should we change about our teaching style to reflect this?",Mental Models,Pedagogy,Pedagogy,Pedagogy,To what extent is learning to program like learning to speak a language?,"Is learning to program like learning a language? If so, what should we change about our teaching style to reflect this?","A while back, there was a controversial ACM Blog Post about how fMRI studies were suggesting that learning to program was more like learning a language. Many CS Ed researchers argued about the accuracy of the claims, but I don't think either side was able to show anything conclusive. If the hypothesis is true, then we should be doing a lot of different things to help students learn new programming languages - we would probably need to revise our entire first pair of CS courses.","We would need to totally revise our introductory classes. This would probably be an entire new direction of research if it held up, and the number of implications are hard to fathom. Most of all, we'd probably stop being embarrassed about teaching so much syntax and grammar in our CS1.",
156,88,1,Broader Social Context,Pipeline,Broader Social Context,Pipeline,Pipeline,How well can students who have gone through Computer Science programs adapt to changing market needs?,Can students that learned computer science adapt quickly to changing market conditions?,Because of the volatile computing industry,See if I can incorporate it into my cirriculum,
157,29,4,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,Should databases be taught at the high school level?,Should programming using databases be brought in at high school level?,Databases are a HUGE element of computing in the real world but it's a topic rarely explored until post-secondary.,Databases present certain logistical problems in a school environment and must be maintained.  But perhaps worth the effort?,
158,106,2,Pedagogy,Languages and Tools,Pedagogy,Languages and Tools,Pedagogy,What is the most effective way to provide automated feedback to students in programming classes?,"Given we require computing education at large, how can we effectively use automation to provide good and helpful feedback that improves student learning?","The number of students in computing constantly increases, especially at university level. As a result, we're no longer able to provide the level of individual interaction and feedback that is required for good in-depth learning of programming. Automated assessment has been explored for more than two decades, and can help address these issues. However, to date the feedback provided by automated assessment systems in computing is still of comparatively low quality. As a result, these systems are more helpful for summative assessment than for formative assessment for learning.","Improve existing automated assessment systems and, thereby, student learning.",
